frame,throttle,steer,brake,speed,front_dist,back_dist,left_dist,right_dist
147055,0.0,0.0,0.0,0.0,8.0,8.0,7.305106163024902,0.7957350611686707
147060,0.0,0.0,0.0,0.0,8.0,8.0,7.291275978088379,0.7957850694656372
147065,0.0,0.0,0.0,0.0,8.0,8.0,7.3536810874938965,0.7957128882408142
147070,0.0,0.0,0.0,0.0,8.0,8.0,7.286332130432129,0.7958022356033325
147075,1.0,0.0,0.0,0.05122929540248249,8.0,8.0,7.3401618003845215,0.79561448097229
147080,1.0,0.0,0.0,0.09135628994445312,8.0,8.0,7.281972885131836,0.7957212924957275
147085,1.0,0.0,0.0,0.28791752404622306,8.0,8.0,7.241794109344482,0.795741081237793
147090,1.0,0.0,0.0,0.7008402509658085,8.0,8.0,7.314946174621582,0.7961850762367249
147095,1.0,0.0,0.0,1.0572640190306406,8.0,8.0,7.324568271636963,0.7974259853363037
147100,1.0,0.0,0.0,1.4889115143245724,8.0,8.0,7.331537246704102,0.798949658870697
147105,1.0,0.0,0.0,1.4889115143245724,8.0,8.0,7.331537246704102,0.798949658870697
147110,0.0,0.0,0.0,1.8501347135592894,8.0,8.0,7.3106255531311035,0.8014330267906189
147115,0.0,0.0,0.0,1.9962347721342077,8.0,8.0,7.30379581451416,0.8040030002593994
147120,0.0,0.0,0.0,1.9243311964973806,8.0,8.0,7.2838568687438965,0.8067581653594971
147125,0.0,0.0,0.0,1.78673338987586,8.0,8.0,7.309039115905762,0.8089182376861572
147130,0.0,0.0,0.0,1.6391132394847663,8.0,8.0,7.3194260597229,0.8089328408241272
147135,0.0,0.0,0.0,1.4979338418617743,8.0,8.0,7.312151908874512,0.8024017810821533
147140,0.0,0.0,0.0,1.4979338418617743,8.0,8.0,7.312151908874512,0.8024017810821533
147145,1.0,0.5,0.0,1.2837075033233132,8.0,8.0,7.340242862701416,0.7940281629562378
147150,1.0,0.5,0.0,1.229579773664334,8.0,8.0,7.322080135345459,0.7626747488975525
147155,0.0,0.5,0.0,1.4440524233603897,8.0,8.0,7.381539821624756,0.7100666165351868
147160,0.0,0.5,0.0,1.5761169836318059,8.0,8.0,7.457958221435547,0.6481386423110962
147165,0.0,0.5,0.0,1.529960384908187,8.0,8.0,7.525078773498535,0.5835523009300232
147170,0.0,0.5,0.0,1.4274647449347047,8.0,8.0,7.606154441833496,0.5301030874252319
147175,0.0,0.5,0.0,1.4274647449347047,8.0,8.0,7.606154441833496,0.5301030874252319
147180,0.0,0.0,0.0,1.3228955594068674,8.0,8.0,7.622642517089844,0.5028765797615051
147185,0.0,0.0,0.0,1.2096190219281562,8.0,8.0,7.721517562866211,0.4964158833026886
147190,1.0,0.0,0.0,1.0449349057895407,8.113842010498047,8.0,7.722208499908447,0.5119110941886902
147195,1.0,0.5,0.0,0.9975430843287865,8.022185325622559,8.0,7.718382835388184,0.5436499118804932
147200,0.0,0.5,0.0,1.1799787278151344,7.904820919036865,8.0,7.765521049499512,0.5904214978218079
147205,0.0,0.5,0.0,1.1799787278151344,7.904820919036865,8.0,7.765521049499512,0.5904214978218079
147210,0.0,0.5,0.0,1.3381026253295103,7.769283771514893,8.0,7.855887413024902,0.633220374584198
147215,0.0,0.5,0.0,1.316693625907158,7.637808799743652,8.0,7.933526992797852,0.741643488407135
147220,0.0,0.0,0.0,1.2433060607595223,7.505646705627441,8.0,7.978173732757568,0.7854970097541809
147225,1.0,0.5,0.0,1.0699241449208647,7.383041858673096,8.0,8.032888412475586,0.8846285343170166
147230,1.0,0.5,0.0,1.0128689728596227,7.285445213317871,8.0,8.190398216247559,0.9843766093254089
147235,1.0,0.5,0.0,1.0128689728596227,7.285445213317871,8.0,8.190398216247559,0.9843766093254089
147240,0.0,0.5,0.0,1.1961183719274393,7.178103446960449,8.0,8.136013984680176,1.1127533912658691
147245,0.0,0.5,0.0,1.3692017660461342,7.054335117340088,8.0,8.313305854797363,1.1925503015518188
147250,0.0,0.5,0.0,1.3483589015904145,6.926695346832275,8.0,8.0,1.2938125133514404
147255,0.0,0.0,0.0,1.2736816551151275,6.805217266082764,8.0,8.0,1.4871116876602173
147260,0.0,0.0,0.0,1.2736816551151275,6.805217266082764,8.0,8.0,1.4871116876602173
147265,0.0,0.5,0.0,1.1619325510278606,6.685460090637207,8.0,8.0,1.8256254196166992
147270,0.0,0.5,0.0,1.0374394378696172,6.583073139190674,8.0,8.0,2.720759630203247
147275,0.0,0.5,0.0,0.9517184918581822,6.4982757568359375,8.0,8.0,2.659900188446045
147280,0.0,0.0,0.0,0.8807075267440053,6.4213738441467285,8.0,8.0,2.612577199935913
147285,0.0,0.0,0.0,0.8807075267440053,6.4213738441467285,8.0,8.0,2.612577199935913
147290,0.0,0.5,0.0,0.799725393588612,6.345341205596924,8.0,8.0,2.57547926902771
147295,0.0,0.5,0.0,0.7136299437503428,6.2751359939575195,8.0,8.0,2.535738229751587
147300,0.0,0.5,0.0,0.654565676570277,6.221316337585449,8.0,8.0,2.494818925857544
147305,0.0,0.5,0.0,0.600066740001363,6.1717753410339355,8.0,8.0,2.454117774963379
147310,0.0,0.5,0.0,0.600066740001363,6.1717753410339355,8.0,8.0,2.454117774963379
147315,0.0,0.5,0.0,0.5493357209347065,6.164336204528809,8.0,8.0,2.4250800609588623
147320,0.0,0.5,0.0,0.5026149673723163,6.134989261627197,8.0,8.0,2.3940978050231934
147325,0.0,0.5,0.0,0.45977922592444254,6.082705020904541,8.0,8.0,2.3582170009613037
147330,1.0,0.5,0.0,0.38422658636138785,6.11242151260376,8.0,8.0,2.337618350982666
147335,1.0,0.5,0.0,0.38422658636138785,6.11242151260376,8.0,8.0,2.337618350982666
147340,1.0,0.0,0.0,0.4196372006287877,6.064985752105713,8.0,8.0,2.311570167541504
147345,1.0,0.5,0.0,0.7130555792408164,6.049421310424805,8.0,8.0,2.287161350250244
147350,0.0,0.5,0.0,0.9692912686472399,5.977006912231445,8.0,8.0,2.2374682426452637
147355,0.0,0.5,0.0,1.1380166225095687,6.018975257873535,8.0,8.0,2.1741325855255127
147360,1.0,0.5,0.0,1.0216012783271926,5.959927082061768,8.0,8.0,2.0976738929748535
147365,0.0,0.5,0.0,1.0803065511378083,7.568299293518066,8.0,8.0,2.0353331565856934
147370,0.0,0.5,0.0,1.0803065511378083,7.568299293518066,8.0,8.0,2.0353331565856934
147375,0.0,0.5,0.0,1.1048038175245265,7.5742998123168945,8.0,8.0,1.9616461992263794
147380,1.0,0.5,0.0,0.9765771759022248,6.982272624969482,8.0,8.0,1.8750087022781372
147385,0.0,0.5,0.0,1.0028257675439667,5.676236629486084,8.0,8.0,1.8138940334320068
147390,0.0,0.0,0.0,1.0289247801608319,5.528559684753418,8.0,8.0,1.7700042724609375
147395,0.0,0.0,0.0,1.0289247801608319,5.528559684753418,8.0,8.0,1.7700042724609375
147400,0.0,0.0,0.0,0.9711504669254905,5.368711471557617,8.0,8.0,1.7692972421646118
147405,1.0,0.0,0.0,0.8351228652361489,5.330596923828125,8.0,8.0,1.7245609760284424
147410,1.0,0.0,0.0,0.818409758055929,5.300849914550781,8.0,8.0,1.716003656387329
147415,0.0,0.0,0.0,1.062798004742916,6.380702495574951,8.0,8.0,1.7115826606750488
147420,0.0,0.0,0.0,1.2262009875441686,5.080974102020264,8.0,8.0,1.7100688219070435
147425,0.0,-0.5,0.0,1.1913136469479313,5.080974102020264,8.0,8.0,1.7100688219070435
147430,0.0,-0.5,0.0,1.1913136469479313,6.345252990722656,8.0,8.0,1.7344825267791748
147435,0.0,-0.5,0.0,1.0859642025939917,6.241010665893555,8.0,8.0,1.7824121713638306
147440,0.0,0.0,0.0,1.0147544026540367,6.29686164855957,8.0,8.0,1.832562804222107
147445,0.0,0.0,0.0,0.9285769719072673,6.199542045593262,8.0,8.0,1.92511785030365
147450,0.0,0.0,0.0,0.8486106362967301,6.207329750061035,8.0,8.0,2.021223783493042
147455,1.0,0.0,0.0,0.7258805202873758,6.16392707824707,8.0,8.0,2.0909693241119385
147460,1.0,0.0,0.0,0.7258805202873758,6.16392707824707,8.0,8.0,2.0909693241119385
147465,0.0,0.0,0.0,0.7489119165831257,6.136941909790039,8.0,8.0,2.1843717098236084
147470,0.0,-0.5,0.0,0.7645770803075965,6.160242557525635,8.0,8.0,2.2409913539886475
147475,0.0,-0.5,0.0,0.7090551250736705,6.0957818031311035,8.0,8.0,4.518712520599365
147480,0.0,-0.5,0.0,0.6592693148779504,6.20026159286499,8.0,8.0,4.545802116394043
147485,0.0,-0.5,0.0,0.6072982325596306,6.43781852722168,8.0,8.0,4.574129104614258
147490,0.0,-0.5,0.0,0.5567765198653414,6.386275291442871,8.0,8.0,4.601658344268799
147495,1.0,-0.5,0.0,0.48737218073577326,6.455183982849121,8.0,8.0,4.626925468444824
147500,1.0,-0.5,0.0,0.48737218073577326,6.455183982849121,8.0,8.0,4.626925468444824
147505,1.0,-0.5,0.0,0.4733232865270389,6.557754993438721,8.0,8.0,4.652027606964111
147510,0.0,-0.5,0.0,0.6805537978199093,6.579737186431885,8.0,8.0,4.691485404968262
147515,0.0,-0.5,0.0,0.8593514324156717,6.777495384216309,8.0,8.0,1.1980936527252197
147520,0.0,-0.5,0.0,0.8699682250127334,6.78869104385376,8.0,8.0,1.188346028327942
147525,1.0,-0.5,0.0,0.7627094437483413,3.8099822998046875,8.0,8.0,1.1475614309310913
147530,0.0,-0.5,0.0,0.7933180842186405,3.710942268371582,8.0,8.0,1.1417887210845947
147535,0.0,-0.5,0.0,0.7933180842186405,3.710942268371582,8.0,8.0,1.1417887210845947
147540,0.0,0.0,0.0,0.8296500988831617,3.5748982429504395,8.0,8.0,1.1378167867660522
147545,0.0,0.0,0.0,0.788600318923061,3.5516629219055176,8.0,8.0,1.1306750774383545
147550,1.0,0.0,0.0,0.6753679981821469,3.4953982830047607,8.0,8.0,1.1291406154632568
147555,1.0,-0.5,0.0,0.6567670329484185,3.3892173767089844,8.0,8.0,1.134329080581665
147560,0.0,0.0,0.0,0.8663621898497791,3.3188679218292236,8.0,8.0,1.1531609296798706
147565,0.0,0.0,0.0,1.0587455679289794,3.226501941680908,8.0,8.0,1.1683405637741089
147570,0.0,0.0,0.0,1.0587455679289794,3.226501941680908,8.0,8.0,1.1683405637741089
147575,0.0,-0.5,0.0,1.0435478924734274,3.12207293510437,8.0,8.0,1.208358883857727
147580,1.0,-0.5,0.0,0.8907363272583781,3.0101170539855957,8.0,8.0,1.2726261615753174
147585,0.0,-0.5,0.0,0.9110705239489422,2.8547754287719727,8.0,8.0,1.345906376838684
147590,0.0,-0.5,0.0,0.9329355701050375,2.7334632873535156,2.848546266555786,8.0,1.4793717861175537
